"TIPO_DATO34","Tipo dato","T_BIS","Periodo temporale","SEXISTAT1","Sesso","COMPAGNIA","Persone presenti","TITOLO_STUDIO","Titolo di studio","NUMEROSITA","Ampiezza della famiglia","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",3.18,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",2.48,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",3.03,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",3.06,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",2.54,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",20.32,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",18.31,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",15.12,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","1","maschi","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",16.25,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.06,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.36,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.29,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.3,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.28,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",4.11,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",3,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",2.38,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",3.1,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",2.54,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",2.52,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",20.08,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",18.28,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",16.02,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","1","maschi","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",16.26,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.02,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.4,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.32,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.19,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.26,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",2.54,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",4.24,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",3.44,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",2.34,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",3.47,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",1.4,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",15.25,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",14.18,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",12.55,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",11.37,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.02,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.31,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.26,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.25,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.22,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",3.52,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",3.1,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",2.57,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",3,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",3.04,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.89,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",16.13,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",14.55,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",13.7,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SAT_00_00-24_00","sabato","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",11.75,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.02,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.28,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.27,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.21,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.21,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",4.18,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",3.08,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",2.56,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",2.38,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",2.59,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.63,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",15.01,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",15.62,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",13.53,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","AVD_00_00-24_00","giorno medio settimanale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",11.74,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.01,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.25,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.27,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.21,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.2,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",5.25,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",2.52,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",2.47,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",2.34,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",2.48,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.42,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",14.74,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",16.12,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",13.7,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","WEK_00_00-24_00","giorno feriale ","2","femmine","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",11.81,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.05,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.48,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.37,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.22,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.32,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",3.55,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",4.25,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",3.4,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",2.55,,
"ATSP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più che frequenta quella persona (durata media specifica in hh.mm)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",3.54,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",2.15,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",18.11,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",16.63,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",12.44,,
"PRW-YGE15","persone di 15 anni e più che trascorrono del tempo da sole o in compagnia (incidenza %)","SUN_00_00-24_00","domenica","9","totale","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",13.82,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","9","totale","FACOH","con padre convivente","3","licenza di scuola elementare, nessun titolo di studio","TOT","totale","2013","2013",0.04,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","9","totale","FACOH","con padre convivente","4","licenza di scuola media","TOT","totale","2013","2013",0.39,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","9","totale","FACOH","con padre convivente","7","diploma","TOT","totale","2013","2013",0.27,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","9","totale","FACOH","con padre convivente","11","laurea e post-laurea","TOT","totale","2013","2013",0.21,,
"ATGP-Y_GE15","tempo medio trascorso da solo o in compagnia, per tipo di persona frequentata - popolazione di 15 anni e più (durata media generica in hh.mm)","SAT_00_00-24_00","sabato","9","totale","FACOH","con padre convivente","99","totale","TOT","totale","2013","2013",0.26,,
